rank,title,synopsis,cover_image_url,rating,chapters,published_date,tags,link
1,The Greatest Estate Developer,"There is no bigger scum of the earth than Lloyd Frontera. He is the eldest son, yet all he does is drink and intimidate others, depleting what little is left of his family's wealth. The Fronteras' knight, Javier Asrahan, is destined to become a renowned swordmaster, and Lloyd's family will face pitiful deaths as their entire land falls to ruin under insurmountable debt.Though at some point Kim Suho was an average civil engineering student in Korea, he suddenly wakes up on a dirt road as none other than Lloyd, an ungrateful hooligan from the beginning of a book following Javier, the protagonist. While a sassy status window offers some clarity about his new identity, Suho is rather worried about his imminent downfall.To avoid becoming a beggar—and ultimately lead a sweet and comfortable life—Suho decides to fix Lloyd's scumbag image. With his engineering expertise and magical construction skills boost, Suho introduces modern innovations and city developments to this medieval-like world, drastically improving the people's quality of life—all for a nice sum of money.",https://cdn.myanimelist.net/images/manga/1/263543.jpg,9.03,Unknown,"Jul  30, 2021 to ?","Adventure, Comedy, Fantasy, Isekai, Reincarnation",https://myanimelist.net/manga/147272/The_Greatest_Estate_Developer
2,No Home,"The abandoned dormitory on the school's outskirts is haunted: the floors creak, creepy sounds fill the night's air, and only the bravest souls dare venture into this den of real-life ghosts. For Go Haejun, a second-year high school student who can see ghosts, it is the sole housing option after he misses the deadline to apply for a newer, safer dormitory. Things would not be so terrible if his only cohabitant were not a brazen and cheeky first-year student, Baek Eunyeong.Eunyeong also happens to be the one responsible for destroying Haejun's plans by shamelessly stealing and wasting all of Haejun's savings. On top of that, he is sloppy, parties constantly, and lies as easily as he breathes. Haejun wrestles with unresolved guilt after fighting with his mother and running away, but he lacks patience for Eunyeong's childish acting out. No matter their vast differences and how much they hate each other, Haejun and Eunyeong are forced to coexist, as neither has another place to call home.",https://cdn.myanimelist.net/images/manga/3/264873.jpg,8.79,269,"Dec  31, 2018 to Aug  5, 2024","Slice of Life, School",https://myanimelist.net/manga/147769/No_Home
3,On the Way to Meet Mom,"Only some children in the orphanage are lucky enough to have a patron—and a small, curious child named Mori starts receiving gifts one day. Mori does not speak, but he listens and enjoys the company of his friend, Rowena, who tells him everything he needs to know. But once Rowena disappears in the warm embrace of her mother, Mori realizes one thing: if every child has a mother, then his own must be out there somewhere.Having packed his little bag, put on his boots, and donned a red cape—undoubtedly a gift from his mother—Mori sets foot outside of the orphanage and begins his journey. The outside world is dangerous; ever since aliens took over Earth, humans have dwindled in numbers, and various creatures roam the vast lands and build their settlements. Ryder, a scarlet-skinned alien with horns and five eyes, encounters Mori and, realizing his origins and the dangers that await him, decides to help Mori's quest and protect him until he meets his mom.",https://cdn.myanimelist.net/images/manga/3/318287.jpg,8.77,31,"Nov  25, 2024 to Jun  10, 2025","Adventure, Fantasy, Childcare",https://myanimelist.net/manga/178182/On_the_Way_to_Meet_Mom
4,My Bias Gets on the Last Train,"Every night, Yeo-un takes the last train home—same route, same time, same routine. But one thing keeps catching his eye: a girl with a guitar and a presence that lingers in his mind. When a shared love for the indie band Long Afternoon sparks a conversation, their late-night encounters begin to turn into something more. But Hae-in isn't just another fan—she's the voice behind the band, a secret she can't afford to reveal. As music draws them closer, the truth may threaten to pull them apart. When the final note plays, will their story end in harmony... or heartbreak?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/318971.jpg,8.73,Unknown,"Dec  14, 2024 to ?",Romance,https://myanimelist.net/manga/178671/My_Bias_Gets_on_the_Last_Train
5,The Horizon,"In a world ravaged by war, a young boy walks down a lonely road in the aftermath of his mother's death. Along his journey, he witnesses military tanks, dead bodies, and his beloved city in ruins. With eyes clouded by anguish, he pushes himself to keep moving forward.One morning, he meets a girl in an abandoned bus where he spent the night. Moments after their encounter, the area turns into a battlefield, and the pair escapes into a long abandoned lane. The two strangers decide to walk together to the end of the road, thus beginning a companionship that will ignite new hope inside their shriveled hearts.",https://cdn.myanimelist.net/images/manga/1/229331.jpg,8.69,21,"Mar  30, 2016 to Jul  21, 2016","Adventure, Drama, Psychological",https://myanimelist.net/manga/125036/The_Horizon
6,Omniscient Reader's Viewpoint,"Kim Dokja does not consider himself the protagonist of his own life. Befitting the name his parents gave him, he is a solitary person whose sole hobby is reading web novels. For over a decade, he has lived vicariously through Yoo Joonghyuk, the main character of the web novel Three Ways to Survive the Apocalypse (TWSA). Through Joonghyuk, Dokja has experienced secondhand the trials of repeatedly regressing in time, in search of an end to life-threatening ""scenarios"" that force people to act out narratives for the amusement of god-like ""Constellations.""After reading 3,149 chapters—long after all other readers lost interest—Dokja finally resigns himself to the story ending. However, he receives an enigmatic message from the author, stating that the story will soon be monetized, before his surroundings suddenly go dark. He swiftly realizes that fiction has become reality and he is now living through TWSA. Although he is the singular omniscient reader of the events yet to come, his success in the scenarios is not guaranteed—but perhaps his advantage will empower him to step into the protagonist role that never suited him before.",https://cdn.myanimelist.net/images/manga/2/238873.jpg,8.65,Unknown,"May  26, 2020 to ?","Action, Adventure, Fantasy, Urban Fantasy",https://myanimelist.net/manga/132214/Omniscient_Readers_Viewpoint
7,Solo Leveling,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills.However, this miserable lifestyle changes when Jin-Woo—believing himself to be the only one left to die in a mission gone terribly wrong—awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters.",https://cdn.myanimelist.net/images/manga/3/222295.jpg,8.6,201,"Mar  4, 2018 to May  31, 2023","Action, Adventure, Fantasy, Adult Cast, Urban Fantasy",https://myanimelist.net/manga/121496/Solo_Leveling
8,Seasons of Blossom,"Oh, to be young and in love. Oh, to be wild and carefree. The springtime of life is intense, tumultuous, and at times, oh so confusing. Spring, summer, fall and winter—love blossoms in all seasons.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/3/257932.jpg,8.6,135,"Jun  24, 2020 to Mar  24, 2023","Romance, Love Polygon",https://myanimelist.net/manga/145539/Seasons_of_Blossom
9,Wind Breaker,"Burdened with expectations since childhood, second-year high schooler Jo ""Jay"" Ja-Hyun feels obligated to aim for the top through his studies. Despite obtaining the title of student president at Taeyang High, he continues to study diligently, giving him little time to befriend others. However, possessing an exceptional talent for biking with a technique that astonishes other experienced bikers, there is more to him than meets the eye.One afternoon, while Jay is skidding his bike at high speed, he catches the interest of his classmate, Yoon Minu. Amazed by his unparalleled biking skill, Minu is quick to recruit him to his biking crew, but Jay coldly rejects the offer. With a determination to show Jay the fun of riding with others, Minu proposes a simple deal—to race against a member of his team, promising to leave him alone if he wins.",https://cdn.myanimelist.net/images/manga/1/189563.jpg,8.59,553,"Dec  15, 2013 to Jul  11, 2025","Drama, Sports",https://myanimelist.net/manga/103237/Wind_Breaker
10,The Legend of the Northern Blade,"For decades, the brave warriors of the Northern Heavenly Sect fought to keep the world safe from the evil Silent Night. But when the fourth generation leader is accused of colluding with the enemy, he is forced to disband the sect and commit suicide to protect his son, Moowon. With no family and allies left, Moowon leads a dreary life under close surveillance... until a surprise attack from the Silent Night gives him a chance to escape to the mountains. There, the young warrior trains to master the fighting techniques of his predecessors, before the mysterious disappearance of a loved one brings him back to the mainland. Follow Moowon as he embarks on a journey to avenge his father's death and take down the villains who threaten to plunge the world into darkness!(Source: Tappytoon)",https://cdn.myanimelist.net/images/manga/3/243483.jpg,8.58,202,"Dec  31, 2019 to Nov  19, 2024","Action, Adventure, Fantasy, Martial Arts",https://myanimelist.net/manga/134744/The_Legend_of_the_Northern_Blade
11,Webtoon Character Na Kang Lim,"Na Kang Lim, a high school student who enjoys reading webtoons, experiences a strange event one day when the female lead from his favorite webtoon appears before him. Even more surprising, the same incidents that put her in danger in the webtoon start happening in real life. The problem is, there's no protagonist in the real world to save her! Ultimately, Na Kang Lim takes on the role of the protagonist, looping through time to save her.(Source: Naver Corporation, translated)",https://cdn.myanimelist.net/images/manga/1/292948.jpg,8.56,172,"May  4, 2021 to Jul  9, 2024","Comedy, Romance, Supernatural, Harem, School, Time Travel",https://myanimelist.net/manga/164926/Webtoon_Character_Na_Kang_Lim
12,Eleceed,"Jiwoo is a kind-hearted young man who harnesses the lightning quick reflexes of a cat to secretly make the world a better place—one saved little child or foster pet at a time. Kayden is a secret agent on the run, who finds himself stuck in the body of a...um...decidedly fat old fluffy cat. Together, armed with Jiwoo's super powers and Kayden's uber-smarts, they're out to fight those forces who would let evil rule this world. That is, if they can stand each other long enough to get the job done.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/1/260660.jpg,8.53,Unknown,"Oct  2, 2018 to ?","Action, Super Power",https://myanimelist.net/manga/147171/Eleceed
13,After School Lessons for Unripe Apples,"Kim Cheol detests nothing more than attention, yet his oppressive height and a scar under his eye make him stick out like a sore thumb. In contrast, Cheol's new seatmate, Hwang Mi-ae, is incredibly outgoing and the shortest in their class. They look comical next to each other, and to add to their embarrassment, their names are the same as those of a famous but extremely ridiculous dancing duo.Cheol struggles with controlling his temper and avoids others by any means necessary, while all Mi-ae is interested in are comics, her favorite boy band, and going out with her friends. However, he is her new neighbor, and they even knew each other in early childhood. Despite everyone's fear of Cheol, Mi-ae notices his awkwardness and selfless nature and tries to befriend him. He may be difficult to approach for now, but through the busy days of studying for the high school entrance exams, Cheol will soon become Mi-ae's most precious person.",https://cdn.myanimelist.net/images/manga/1/261508.jpg,8.52,Unknown,"Dec  23, 2020 to ?","Romance, School",https://myanimelist.net/manga/147448/After_School_Lessons_for_Unripe_Apples
14,The Boxer,"Having suffered ruthless bullying for the better part of his life, 17-year-old Yu has become emotionally numb and dissociated from reality, no longer able to act like a normal human being. Although he possesses the exceptional talent to dodge punches, Yu prefers to let his perpetrators beat him down as he finds no meaning in his survival.Things begin to look up when Yu meets an old boxing trainer nicknamed ""K."" Having raised five champions, K's years of experience and an impressive gut feeling allow him to recognize Yu's near-superhuman fighting charisma immediately. K rushes to take Yu under his wing, despite the latter's apparent lack of interest.However, after being reminded of a bright memory from the past, Yu has a change of heart and accepts K's offer, hoping to experience the same light once again. Thus, Yu enters a world full of formidable adversaries—righteous and monstrous alike—and for the first time ever, he has no choice but to fight back.",https://cdn.myanimelist.net/images/manga/3/251281.jpg,8.5,123,"Dec  4, 2019 to May  4, 2022","Drama, Sports, Combat Sports",https://myanimelist.net/manga/141120/The_Boxer
